Geneid	remap/Sample1-1.bam	remap/Sample1-2.bam	remap/Sample1-5.bam	remap/Sample1-7.bam	remap/Sample1-9.bam	remap/Sample2-10.bam	remap/Sample2-3.bam	remap/Sample2-4.bam	remap/Sample2-5.bam	remap/Sample2-8.bam
RGna_RS14195	3.1050568372169423	8.638306793289207	2.3367744608751	6.185871508557075	4.671091832971813					
RGna_RS14200	1.256808719825905	0.9989878604484113	0.0	2.503805134415958	0.0					
RGna_RS14205	1.227580610062512	0.0	0.923841065927365	0.0	1.8467107246632746					
RGna_RS14210	1.5525284186084711	3.7021314828382303	4.089355306531425	0.0	2.3355459164859065					
RGna_RS14280	112.38302488249707	193.5458416081664	152.4933785274299	186.57386646776982	53.792896270030226					
RGna_RS14285	18.927238888214827	36.775489364714424	42.73225010126179	77.92719406397397	14.552963399936086					
RGna_RS14290	26.654299780862264	50.265904027711166	41.6917582029399	68.7182953722875	24.372924712635104					
RGna_RS14295	166.56112318017094	188.24171251476554	194.59962993436224	185.4507559693766	254.85855777869855					
RGna_RS14300	40.87604070386426	37.39943410703801	42.27023216970167	27.24195781345051	21.676988840476433					
RGna_RS14305	438.46835267654916	487.0442322648486	459.3347064625693	324.46294877547103	269.7496851483018					
RGna_RS14310	377.9566586530995	450.0894396711206	426.83056970633754	277.6947512715882	222.75648325548696					
RGna_RS14315	622.0623097575233	813.9753086933657	787.1694399280183	513.6652533451816	466.0671705036721					
RGna_RS14320	126.78734473114538	128.48226645384352	134.57137517269234	534.3527474425331	101.82533201444774					
RGna_RS14325	221.98384013925047	183.18939890972746	204.832886336083	1033.7585448719888	166.61617743502134					
RGna_RS18200	0.0	0.0	4.256267768022504	7.511415403247875	0.0					
RGna_RS14330	3.9308698258384696	7.588056727235805	7.818250722821477	23.49315030377527	5.068631563437498					
RGna_RS14335	67.59178602966148	31.21227924961988	33.427273690323084	39.75554006109241	8.71557378591082					
RGna_RS14340	91.17575985646111	60.393357018017596	63.80102391662016	82.8531880843099	13.234760193420135					
RGna_RS14345	27.497805665400268	38.24961891726196	39.170861195320285	41.08569541497443	21.42184440609399					
RGna_RS14350	393.83674395770237	461.47499413983525	448.6606964880192	395.32034663988	458.2015198017466					
RGna_RS14355	77.77007124673607	80.03279257798803	76.62291773132802	62.871348855654816	64.43114571031582					
RGna_RS14360	2.2303929394093527	1.18190113067136	2.9840500157653858	0.4937080546735693	0.0					
RGna_RS14365	117.20978328833085	138.09630612623866	140.1328684568879	120.89238649006818	110.0465099547375					
RGna_RS14370	70.38128831025068	69.3464073127939	104.00269110936469	81.06069122671664	66.17380096710068					
RGna_RS14375	110.87463226957298	121.0828025924321	141.12410511202773	98.91745215966608	122.55750535276728					
